Player,Rating,DPR,KAST,Impact,ADR,KPR
ZywOo,1.32,0.6,75.5,1.41,85.8,0.83
s1mple,1.3,0.59,74.7,1.35,85.3,0.85
device,1.22,0.6,72.5,1.3,81.1,0.77
EliGE,1.21,0.65,71.2,1.3,85.7,0.78
Magisk,1.17,0.61,74.9,1.12,80.8,0.73
electronic,1.21,0.63,72.9,1.26,84.6,0.75
NAF,1.18,0.61,74.0,1.13,82.2,0.73
Brehze,1.18,0.65,72.8,1.2,81.4,0.78
Twistzz,1.14,0.59,75.1,1.03,74.1,0.71
ropz,1.19,0.59,75.0,1.11,80.4,0.76
NiKo,1.16,0.67,69.6,1.24,82.9,0.77
woxic,1.16,0.61,71.1,1.21,76.8,0.74
sergej,1.13,0.65,72.2,1.13,78.3,0.72
Xyp9x,1.12,0.58,74.7,1.01,75.2,0.67
jks,1.16,0.63,71.4,1.16,81.2,0.74
dupreeh,1.12,0.62,72.9,1.1,74.2,0.71
KRIMZ,1.1,0.64,72.0,1.07,77.3,0.71
CeRq,1.13,0.61,72.8,1.12,72.6,0.72
Brollan,1.12,0.67,70.7,1.18,78.1,0.72
Ethan,1.13,0.66,72.1,1.14,81.2,0.7
