Player,HLTV_ID,Rating,DPR,KAST,Impact,ADR,KPR,Rank,MVPs,EVPs
ZywOo,11893,1.32,0.6,75.5,1.41,85.8,0.83,1,5,5
s1mple,7998,1.3,0.59,74.7,1.35,85.3,0.85,2,1,5
device,7592,1.22,0.6,72.5,1.3,81.1,0.77,3,3,0
EliGE,8738,1.21,0.65,71.2,1.3,85.7,0.78,4,3,11
Magisk,9032,1.17,0.61,74.9,1.12,80.8,0.73,5,1,10
electronic,8918,1.21,0.63,72.9,1.26,84.6,0.75,6,0,3
NAF,8520,1.18,0.61,74.0,1.13,82.2,0.73,7,2,10
Brehze,9136,1.18,0.65,72.8,1.2,81.4,0.78,8,1,6
Twistzz,10394,1.14,0.59,75.1,1.03,74.1,0.71,9,1,8
ropz,11816,1.19,0.59,75.0,1.11,80.4,0.76,10,1,3
NiKo,3741,1.16,0.67,69.6,1.24,82.9,0.77,11,2,3
woxic,8574,1.16,0.61,71.1,1.21,76.8,0.74,12,1,2
sergej,11916,1.13,0.65,72.2,1.13,78.3,0.72,13,0,6
Xyp9x,4954,1.12,0.58,74.7,1.01,75.2,0.67,14,0,7
jks,4679,1.16,0.63,71.4,1.16,81.2,0.74,15,0,3
dupreeh,7398,1.12,0.62,72.9,1.1,74.2,0.71,16,1,5
KRIMZ,7528,1.1,0.64,72.0,1.07,77.3,0.71,17,0,4
CeRq,11219,1.13,0.61,72.8,1.12,72.6,0.72,18,0,2
Brollan,13666,1.12,0.67,70.7,1.18,78.1,0.72,19,0,4
Ethan,10671,1.13,0.66,72.1,1.14,81.2,0.7,20,1,3
